!_+_\	3
!_0_$	1
!_1_\	2
!_:_\	2
!_=_\	3
!_[_(	1
!_[_]	2
!_[_a	1
!_[_activation	1
!_[_additional	1
!_[_an	1
!_[_auroc	1
!_[_by	1
!_[_circumscribed	1
!_[_dag	1
!_[_fourier-space	1
!_[_frequency-based	2
!_[_image	1
!_[_indistinct	1
!_[_inverse	1
!_[_malignancy	1
!_[_model	1
!_[_modeling	1
!_[_our	2
!_[_pixel-based	1
!_[_result	7
!_[_roc	1
!_[_semantic	4
!_[_spiculate	1
!_[_the	2
!_[_this	7
!_[_time	1
!_[_top	3
!_[_we	1
!_\_!	2
!_\_,	1
!_\_frac	1
!_\_geq	3
!_\_in	6
!_\_kappa	1
!_\_log	1
!_\_phi	1
!_\_phi_g(j)	2
!_\_sum_u	1
!_i_\	2
!_t__	6
!_|_\	1
!_|_|	1
!_}_\	1
!_}_{	1
"_$_x	1
"_)_,	2
"_)_.	1
"_)_annotation	1
"_)_attribute	1
"_)_require	1
"_)_the	1
"_)_{	6
"_*_genre	1
"_,_"	1
"_,_and	1
"_,_i.e.	1
"_---_their	1
"_.8_\	1
"_.95_\	6
"_._fig	1
"_._in	1
"_._next	1
"_0.45_\	1
"_0.4_\	1
"_0.80_\	2
"_0.8_\	2
"_0_"	1
"_1_"	1
"_1_.	1
"_50_%	1
"_70_%	1
"_80_%	2
"_81_%	1
"_85_%	1
"_90_%	2
"_[_@	1
"_\_\	22
"_a_latent	1
"_accurate_"	1
"_across_user	1
"_activate_,	1
"_activation_space	1
"_against_we	1
"_agreement_with	1
"_and_"	3
"_and_disprefer	1
"_and_in	1
"_and_take	1
"_and_those	1
"_app_:	27
"_architecture_.	1
"_as_mark	2
"_assign_"	1
"_attractive_"	4
"_attribute_be	1
"_autofe_nonsem_"	2
"_autofe_section_"	1
"_ball_"	1
"_banded_"	1
"_bar_represent	1
"_base_on	1
"_be_of	1
"_but_incorrectly-assumed	1
"_but_they	1
"_by_a	1
"_by_the	1
"_by_user	1
"_causally_sufficient	1
"_cav_(	1
